Public Authority,Country,Category,FOI Email
Avon and Somerset Constabulary,England,Police Force,FOIREQUESTS@avonandsomerset.police.uk
Bedfordshire Police,England,Police Force,foi@Bedfordshire.pnn.police.uk  
Cambridgeshire Constabulary,England,Police Force,foi@cambs.pnn.police.uk
Cheshire Constabulary,England,Police Force,foi@cheshire.pnn.police.uk
City of London Police,England,Police Force,foi@city-of-london.pnn.police.uk
Cleveland Police,England,Police Force,foi@cleveland.pnn.police.uk
Cumbria Constabulary,England,Police Force,freedomofinformation@cumbria.police.uk 
Derbyshire Constabulary,England,Police Force,FOI@derbyshire.pnn.police.uk
Devon and Cornwall Constabulary,England,Police Force,foi@devonandcornwall.pnn.police.uk
Dorset Police,England,Police Force,foi@dorset.pnn.police.uk
Durham Constabulary,England,Police Force,freedomofinformation@durham.pnn.police.uk
Dyfed-Powys Police,Wales,Police Force,foi@dyfed-powys.pnn.police.uk
Essex Police,England,Police Force,info.rights@essex.police.uk
Gloucestershire Constabulary,England,Police Force,FOI@gloucestershire.pnn.police.uk
Greater Manchester Police,England,Police Force,freedomofinformation@gmp.police.uk
Gwent Police,Wales,Police Force,foi@gwent.pnn.police.uk
Hampshire Constabulary,England,Police Force,public.access@hampshire.pnn.police.uk
Hertfordshire Constabulary,England,Police Force,foi@herts.pnn.police.uk
Humberside Police,England,Police Force,InformationComplianceUnit@humberside.pnn.police.uk
Kent Police,England,Police Force,freedomofinformation@kent.pnn.police.uk
Lancashire Constabulary,England,Police Force,FOI@Lancashire.pnn.police.uk
Leicestershire Constabulary,England,Police Force,Foi@leicestershire.pnn.police.uk
Lincolnshire Police,England,Police Force,FOI@lincs.pnn.police.uk
Merseyside Police,England,Police Force,foi@merseyside.police.uk
Metropolitan Police Service,England,Police Force,foi@met.police.uk
Norfolk Constabulary,England,Police Force,freedomofinformation@norfolk.pnn.police.uk 
North Wales Police,Wales,Police Force,FreedomofInformationTeam@nthwales.pnn.police.uk
North Yorkshire Police,England,Police Force,CivilDisclosure@northyorkshire.pnn.police.uk
Northamptonshire Police,England,Police Force,freedomofinformation@northants.police.uk
Northumbria Police,England,Police Force,freedom.info@northumbria.pnn.police.uk
Nottinghamshire Police,England,Police Force,freedomofinformation@Nottinghamshire.pnn.police.uk
Police Scotland,Scotland,Police Force,foi@scotland.pnn.police.uk
Police Service of Northern Ireland,Northern Ireland,Police Force,foi@psni.pnn.police.uk
South Wales Police,Wales,Police Force,foi@south-wales.pnn.police.uk
South Yorkshire Police,England,Police Force,foi@southyorks.pnn.police.uk
Staffordshire Police,England,Police Force,foi@staffordshire.pnn.police.uk
Suffolk Constabulary,England,Police Force,information@suffolk.pnn.police.uk
Surrey Police,England,Police Force, foi@surrey.pnn.police.uk
Sussex Police,England,Police Force,foi@sussex.pnn.police.uk
Thames Valley Police,England,Police Force,publicaccess@thamesvalley.pnn.police.uk
Warwickshire Police,England,Police Force,Freedom.Information@warwickshire.pnn.police.uk 
West Mercia Police,England,Police Force,information@westmercia.pnn.police.uk
West Midlands Police,England,Police Force,foi@west-midlands.police.uk
West Yorkshire Police,England,Police Force,foi@westyorkshire.pnn.police.uk 
Wiltshire Police,England,Police Force,disclosure@wiltshire.pnn.police.uk
